id,rsonpath_id,dataset,query,rsonpath,jsonski,jsurfer
A1,decl_name,ast,$..decl.name,16.440362897552752,,0.12229615054800674
A2,nested_inner,ast,$..inner..inner..type.qualType,0.9830324217211751,,0.11786864200747638
A3,included_from,ast,$..loc.includedFrom.file,14.025834976667428,,0.12239764397898749
B1,BB1_products_category,bestbuy_large_record,$.products[*].categoryPath[*].id,3.9208385130501635,3.164226507557369,0.15966039870378282
B1r,BB1'_products_category,bestbuy_large_record,$..categoryPath..id,6.74018985637688,,0.16516177087668663
B2,BB2_products_video,bestbuy_large_record,$.products[*].videoChapters[*].chapter,3.1276151850561953,2.7383809424459797,0.1597832880683261
B2r,BB2'_products_video,bestbuy_large_record,$..videoChapters..chapter,12.47041347868633,,0.16764138109621765
B3,BB3_products_video_only,bestbuy_large_record,$.products[*].videoChapters,1.0897169134185252,0.7342942726706622,0.15895404895877774
B3r,BB3'_products_video_only,bestbuy_large_record,$..videoChapters,12.46968064752229,,0.16645263347885944
C0,DOI,crossref1,$..DOI,4.705070077388853,,0.15632104666013688
C1,author_affiliation,crossref1,$.items[*].author[*].affiliation[*].name,3.6199914623733185,2.8183656317844905,0.19387986036816898
C1r,author_affiliation_descendant,crossref1,$..author..affiliation..name,3.909654203138507,,0.17198222148564488
C2,editor,crossref1,$.items[*].editor[*].affiliation[*].name,3.369722088096279,3.0647625753547487,0.19222515668204115
C2r,editor_descendant,crossref1,$..editor..affiliation..name,12.460111759559746,,0.17242092671171588
C3,title,crossref1,$.items[*].title,3.3120079070672945,2.8898521454363135,0.17036481393782069
C3r,title_descendant,crossref1,$..title,9.310186071242322,,0.15754268625849452
C4,orcid,crossref1,$.items[*].author[*].ORCID,3.4345754205752907,2.679878792146981,0.17949956727878644
C4r,orcid_descendant,crossref1,$..author..ORCID,3.455882414473186,,0.17348544953842449
G1,GMD1_routes,google_map_large_record,$[*].routes[*].legs[*].steps[*].distance.text,2.430298500058034,2.410545795214444,
G2,GMD2_travel_modes,google_map_large_record,$[*].available_travel_modes,6.179590238643021,4.9345560894879235,
G2r,GMD2'_travel_modes,google_map_large_record,$..available_travel_modes,13.042851903577072,,
N1,NSPL1_meta_columns,nspl_large_record,$.meta.view.columns[*].name,6.877581700886785,49581.06132294347,
N2,NSPL2_data,nspl_large_record,$.data[*][*][*],3.5980311143229065,2.703555056844896,
O1,vitamins_tags,openfood,$.products[*].vitamins_tags,2.655671962984392,1.7903713602858755,0.1509786792298238
O1r,vitamins_tags_descendant,openfood,$..vitamins_tags,19.952734834912786,,0.13992149959486574
O2,added_counties_tags,openfood,$.products[*].added_countries_tags,7.788801937757873,3.9048048613267534,0.1453453519930631
O2r,added_countries_tags_descendant,openfood,$..added_countries_tags,16.527306962408048,,0.1343087626697206
O3,specific_ingredients,openfood,$.products[*].specific_ingredients[*].ingredient,3.7303882692874226,2.5790557155906497,0.14664328515059585
O3r,specific_ingredients_descendant,openfood,$..specific_ingredients..ingredient,15.34439325723342,,0.1350337212706051
S0,scalability_affiliation0,crossref0,$..affiliation..name,8.01408742376579,,
S1,scalability_affiliation1,crossref1,$..affiliation..name,7.894236730981627,,
S2,scalability_affiliation2,crossref2,$..affiliation..name,7.969667842110883,,
S4,scalability_affiliation4,crossref4,$..affiliation..name,7.8709942915147515,,
T1,TT1_entities_urls,twitter_large_record,$[*].entities.urls[*].url,4.254028027549296,3.5194567282829547,0.17733225735285263
T2,TT2_text,twitter_large_record,$[*].text,4.977715148802016,3.7476295515161855,0.18121001322304353
Ts1,all_hashtags,twitter,$..hashtags..text,14.308849869704197,,0.2403696732863011
Ts2,hashtags_of_retweets,twitter,$..retweeted_status..hashtags..text,8.238796768519107,,0.24073107818085865
Ts3,metadata_1,twitter,$.search_metadata.count,7.857570015481736,4.538733021669044,0.25926752774030026
Ts4,metadata_2,twitter,$..search_metadata.count,20.53180697605525,,0.24194750229356954
Ts5,metadata_3,twitter,$..count,22.989546491035657,,0.24235712484121066
W1,WM1_items_price,walmart_large_record,$.items[*].bestMarketplacePrice.price,5.288174192606822,4.591182573523091,0.27489665859775875
W1r,WM1'_items_price,walmart_large_record,$..bestMarketplacePrice.price,12.452819674312014,,0.2618312316162751
W2,WM2_items_name,walmart_large_record,$.items[*].name,4.664357432680093,4.243019886223569,0.2655800808273865
W2r,WM2'_items_name,walmart_large_record,$..name,5.774404474257751,,0.26196218092853485
Wi,WP1_claims_p150,wiki_large_record,$[*].claims.P150[*].mainsnak.property,3.734922860777599,2.867991481109679,
Wir,WP1'_claims_p150,wiki_large_record,$..P150..mainsnak.property,11.588011553942062,,
